Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  161.16.152.121         11   0015.177e.0955  ARPA   Vlan152
Internet  161.16.153.120          0   0050.56b3.73a6  ARPA   Vlan153
Internet  161.16.154.123          0   0050.56b3.1263  ARPA   Vlan154
Internet  161.16.197.37          12   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.152.120         13   0015.177e.0955  ARPA   Vlan152
Internet  161.16.153.121         10   0050.56b3.399a  ARPA   Vlan153
Internet  161.16.150.118          1   3464.a995.e9ef  ARPA   Vlan150
Internet  161.16.152.123         16   0015.177e.0955  ARPA   Vlan152
Internet  161.16.153.122          2   0050.56b3.1dc0  ARPA   Vlan153
Internet  161.16.150.117         23   0050.56b3.00b4  ARPA   Vlan150
Internet  161.16.154.121         10   0050.56b3.0616  ARPA   Vlan154
Internet  161.16.152.122         16   0015.177e.0955  ARPA   Vlan152
Internet  161.16.153.123          0   0050.56b3.6614  ARPA   Vlan153
Internet  161.16.150.116          0   d4be.d9b6.7aac  ARPA   Vlan150
Internet  161.16.198.35          19   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.150.115          0   6cc2.1738.4ae0  ARPA   Vlan150
Internet  161.16.152.125         11   0015.177e.0955  ARPA   Vlan152
Internet  161.16.154.127         18   021b.21c6.7bc5  ARPA   Vlan154
Internet  161.16.153.124          0   0050.56b3.02b8  ARPA   Vlan153
Internet  161.16.150.114          0   0050.56b3.3045  ARPA   Vlan150
Internet  161.16.152.124         15   0015.177e.0955  ARPA   Vlan152
Internet  161.16.153.125          0   0050.56b3.0070  ARPA   Vlan153
Internet  161.16.154.125          0   Incomplete      ARPA   
Internet  161.16.150.113          3   0050.56b3.1252  ARPA   Vlan150
Internet  161.16.152.127          0   0050.56b3.756f  ARPA   Vlan152
Internet  161.16.153.126          0   0050.56b3.097f  ARPA   Vlan153
Internet  161.16.197.35          21   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.199.33          24   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.150.112         15   0090.fb34.35e5  ARPA   Vlan150
Internet  161.16.152.126          0   0050.56b3.1c27  ARPA   Vlan152
Internet  161.16.153.127          2   0050.56b3.2fc3  ARPA   Vlan153
Internet  161.16.154.124          0   ac16.2d84.be2c  ARPA   Vlan154
Internet  161.16.152.113         24   0050.56b3.7128  ARPA   Vlan152
Internet  161.16.153.112          3   0050.56b3.6871  ARPA   Vlan153
Internet  161.16.154.115          1   009c.02a6.e93c  ARPA   Vlan154
Internet  161.16.198.46          23   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.153.113         19   0050.56b3.37f9  ARPA   Vlan153
Internet  161.16.152.112         22   0050.56b3.293c  ARPA   Vlan152
Internet  161.16.154.114          3   e839.352c.5ea8  ARPA   Vlan154
Internet  161.16.152.115          0   0050.56b3.3fa5  ARPA   Vlan152
Internet  161.16.152.114         22   0050.56b3.2f10  ARPA   Vlan152
Internet  161.16.197.40          13   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.152.117         13   0050.56b3.00c6  ARPA   Vlan152
Internet  161.16.197.41          16   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.152.116         10   0050.56b3.2cc6  ARPA   Vlan152
Internet  161.16.153.117          0   0050.56b3.032e  ARPA   Vlan153
Internet  161.16.154.118          1   0050.56b3.57f1  ARPA   Vlan154
Internet  161.16.154.117          0   Incomplete      ARPA   
Internet  161.16.198.41          15   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.152.119          1   0015.177e.0955  ARPA   Vlan152
Internet  161.16.153.118         20   0050.56b3.20b0  ARPA   Vlan153
Internet  161.16.153.119         12   0050.56b3.6c04  ARPA   Vlan153
Internet  161.16.154.75           1   6cc2.173c.12c0  ARPA   Vlan154
Internet  161.16.196.21           4   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.153.72           3   0050.56b3.2d2b  ARPA   Vlan153
Internet  161.16.154.74           0   0050.56b3.1d91  ARPA   Vlan154
Internet  161.16.150.70          11   0050.56b3.4651  ARPA   Vlan150
Internet  161.16.152.72           0   0050.56b3.5fa5  ARPA   Vlan152
Internet  161.16.196.23          20   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.152.75           0   0050.56b3.6d9b  ARPA   Vlan152
Internet  161.16.153.74           5   0040.9d4a.4277  ARPA   Vlan153
Internet  161.16.150.69           2   0050.56b3.0211  ARPA   Vlan150
Internet  161.16.154.73           0   2c59.e537.2d64  ARPA   Vlan154
Internet  161.16.196.22          20   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.152.74           1   0050.56b3.6450  ARPA   Vlan152
Internet  161.16.153.75           0   0050.56b3.125e  ARPA   Vlan153
Internet  161.16.150.68           3   0050.56b3.402b  ARPA   Vlan150
Internet  161.16.154.72           0   0050.56b3.7d0c  ARPA   Vlan154
Internet  161.16.197.16           6   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.150.67          22   0025.909a.f9f6  ARPA   Vlan150
Internet  161.16.152.77           0   0050.56b3.000a  ARPA   Vlan152
Internet  161.16.150.66           0   b083.feda.2116  ARPA   Vlan150
Internet  161.16.198.17           0   Incomplete      ARPA   
Internet  161.16.152.78           4   000a.49b0.d086  ARPA   Vlan152
Internet  161.16.154.76           3   0050.56b3.0498  ARPA   Vlan154
Internet  161.16.150.79           3   0002.ac54.08e7  ARPA   Vlan150
Internet  161.16.154.67           0   0050.56b3.5aa7  ARPA   Vlan154
Internet  161.16.152.65           1   0026.5532.031e  ARPA   Vlan152
Internet  161.16.153.64          10   0050.56b3.0025  ARPA   Vlan153
Internet  161.16.152.64           0   0050.56b3.29e7  ARPA   Vlan152
Internet  161.16.150.78           1   0050.56b3.00d1  ARPA   Vlan150
Internet  161.16.153.65           1   6431.504d.85b8  ARPA   Vlan153
Internet  161.16.150.77           1   0050.56b3.00b4  ARPA   Vlan150
Internet  161.16.153.66           0   6431.504c.2498  ARPA   Vlan153
Internet  161.16.154.65           4   0050.56b3.705e  ARPA   Vlan154
Internet  161.16.152.67           0   e839.35a8.39b8  ARPA   Vlan152
Internet  161.16.196.30          20   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.152.66           1   0050.56b3.4ea0  ARPA   Vlan152
Internet  161.16.153.67           1   6431.504d.00a2  ARPA   Vlan153
Internet  161.16.154.64           4   0050.56b3.6e55  ARPA   Vlan154
Internet  161.16.198.27           8   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.196.25          20   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.153.68           0   6431.504d.94ae  ARPA   Vlan153
Internet  161.16.154.71           0   0050.56b3.4c12  ARPA   Vlan154
Internet  161.16.197.25          10   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.196.24          20   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.153.69           0   6431.504d.55b6  ARPA   Vlan153
Internet  161.16.154.70           0   0050.56b3.6b0f  ARPA   Vlan154
Internet  161.16.150.73           9   0002.ac80.a096  ARPA   Vlan150
Internet  161.16.152.71           0   0050.56b3.02d7  ARPA   Vlan152
Internet  161.16.154.69           0   0050.56b3.636a  ARPA   Vlan154
Internet  161.16.197.27          13   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.196.26          20   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.153.71           0   0018.7d23.f9d9  ARPA   Vlan153
Internet  161.16.152.70           0   e411.5bbf.53be  ARPA   Vlan152
Internet  161.16.154.68           0   0050.56b3.7a33  ARPA   Vlan154
Internet  161.16.197.4           14   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.150.87           1   0005.33c7.6fd3  ARPA   Vlan150
Internet  161.16.152.89           4   000a.49b0.d086  ARPA   Vlan152
Internet  161.16.196.5            -   0025.b4cc.1440  ARPA   Vlan196
Internet  161.16.153.88           1   34a8.4eb6.88e4  ARPA   Vlan153
Internet  161.16.153.89           0   001e.6792.d092  ARPA   Vlan153
Internet  161.16.150.86           1   0005.3391.81b3  ARPA   Vlan150
Internet  161.16.197.6           21   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.153.90           3   0050.56b3.3c9f  ARPA   Vlan153
Internet  161.16.150.85           0   0050.56b3.5e17  ARPA   Vlan150
Internet  161.16.154.89           9   0050.56b3.17a0  ARPA   Vlan154
Internet  161.16.152.90           4   000a.49b0.d086  ARPA   Vlan152
Internet  161.16.196.6            0   0025.b4cc.1340  ARPA   Vlan196
Internet  161.16.153.91           3   0050.56b3.6a7d  ARPA   Vlan153
Internet  161.16.154.95           0   Incomplete      ARPA   
Internet  161.16.150.83           3   0027.f846.17ab  ARPA   Vlan150
Internet  161.16.152.93          15   0050.56b3.05cd  ARPA   Vlan152
Internet  161.16.196.1            -   0000.0c07.acc4  ARPA   Vlan196
